word,freq
"('There', 'is')",59
,
"('is', 'a')",243
,
"('a', 'variety')",19
,
"('variety', 'of')",34
,
"('of', 'seating')",66
,
"('seating', '')",109
,
"('', 'Some')",20
,
"('Some', 'comfy')",1
,
"('comfy', 'couches')",2
,
"('couches', 'and')",7
,
"('and', 'big')",2
,
"('big', 'chairs')",4
,
"('chairs', 'in')",2
,
"('in', 'the')",432
,
"('the', 'back')",49
,
"('back', '')",124
,
"('', 'Tables')",1
,
"('Tables', 'with')",1
,
"('with', 'good')",12
,
"('good', 'light')",2
,
"('light', 'in')",4
,
"('in', 'the')",432
,
"('the', 'front')",26
,
"('front', '')",17
,
"('', 'Plugs')",1
,
"('Plugs', 'for')",1
,
"('for', 'laptops')",3
,
"('laptops', 'etc')",1
,
"('etc', '')",32
,
"('', 'It')",581
,
"('It', 'can')",4
,
"('can', 'seem')",1
,
"('seem', 'a')",2
,
"('a', 'little')",151
,
"('little', 'crowded')",3
,
"('crowded', 'at')",3
,
"('at', 'times')",7
,
"('times', 'but')",3
,
"('but', 'I')",195
,
"('I', 've')",317
,
"('ve', 'always')",7
,
"('always', 'found')",2
,
"('found', 'a')",15
,
"('a', 'seat')",21
,
"('seat', '')",13
,
"('', 'There')",218
,
"('There', 'is')",59
,
"('is', 'occasional')",1
,
"('occasional', 'live')",1
,
"('live', 'music')",12
,
"('music', 'and')",7
,
"('and', 'I')",288
,
"('I', 'will')",79
,
"('will', 'check')",1
,
"('check', 'that')",1
,
"('that', 'out')",2
,
"('out', 'one')",1
,
"('one', 'day')",5
,
"('day', '')",95
,
"('', '')",9435
,
"('Would', 'be')",1
,
"('be', 'five')",1
,
"('five', 'stars')",12
,
"('stars', 'if')",2
,
"('if', 'there')",10
,
"('there', 'were')",21
,
"('were', 'adequate')",1
,
"('adequate', 'space')",1
,
"('space', 'inside')",3
,
"('inside', 'for')",1
,
"('for', 'the')",160
,
"('the', 'amount')",4
,
"('amount', 'of')",46
,
"('of', 'people')",31
,
"('people', 'who')",12
,
"('who', 'are')",8
,
"('are', 'always')",25
,
"('always', 'there')",3
,
"('there', '')",87
,
"('', 'The')",1206
,
"('The', 'atmosphere')",36
,
"('atmosphere', 'is')",35
,
"('is', 'really')",47
,
"('really', 'nice')",20
,
"('nice', 'and')",59
,
"('and', 'casual')",1
,
"('casual', '')",1
,
"('', 'and')",960
,
"('and', 'the')",378
,
"('the', 'coffee')",235
,
"('coffee', 'shop')",328
,
"('shop', 'has')",16
,
"('has', 'a')",60
,
"('a', 'good')",109
,
"('good', 'set')",1
,
"('set', 'up')",23
,
"('up', 'to')",27
,
"('to', 'do')",49
,
"('do', 'work')",14
,
"('work', '')",86
,
"('', '')",9435
,
"('', 'Have')",4
,
"('Have', 'never')",1
,
"('never', 'had')",20
,
"('had', 'their')",11
,
"('their', 'coffee')",63
,
"('coffee', '')",570
,
"('', 'but')",644
,
"('but', 'the')",98
,
"('the', 'pumpkin')",5
,
"('pumpkin', 'muffin')",1
,
"('muffin', 'is')",1
,
"('is', 'spectacular')",3
,
"('spectacular', '')",5
,
"('', 'Has')",6
,
"('Has', 'a')",3
,
"('a', 'crunchy')",1
,
"('crunchy', 'sugar')",1
,
"('sugar', 'glazed')",1
,
"('glazed', 'shell')",1
,
"('shell', 'at')",1
,
"('at', 'the')",115
,
"('the', 'top')",12
,
"('top', 'that')",2
,
"('that', 'compliments')",1
,
"('compliments', 'the')",1
,
"('the', 'fluffy')",1
,
"('fluffy', 'inside')",2
,
"('inside', '')",46
,
"('', '')",9435
,
"('check', 'ins')",217
,
"('ins', 'GET')",1
,
"('GET', 'THE')",3
,
"('THE', 'THAI')",2
,
"('THAI', 'TEA')",2
,
"('TEA', 'NOW')",1
,
"('NOW', '')",4
,
"('', '')",9435
,
"('', 'I')",2231
,
"('I', 'was')",233
,
"('was', 'driving')",3
,
"('driving', 'around')",2
,
"('around', 'local')",1
,
"('local', 'coffee')",21
,
"('coffee', 'shops')",110
,
"('shops', 'but')",3
,
"('but', 'they')",39
,
"('they', 'all')",3
,
"('all', 'closed')",1
,
"('closed', 'and')",1
,
"('and', 'the')",378
,
"('the', 'other')",52
,
"('other', 'cafes')",2
,
"('cafes', 'that')",2
,
"('that', 'opened')",1
,
"('opened', '')",9
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', 'were')",5
,
"('were', 'way')",1
,
"('way', 'too')",15
,
"('too', 'packed')",2
,
"('packed', '')",18
,
"('', 'Thankfully')",1
,
"('Thankfully', 'we')",1
,
"('we', 'were')",26
,
"('were', 'able')",5
,
"('able', 'to')",45
,
"('to', 'find')",70
,
"('find', 'a')",38
,
"('a', 'spot')",22
,
"('spot', 'right')",2
,
"('right', 'against')",1
,
"('against', 'the')",5
,
"('the', 'window')",7
,
"('window', 'and')",3
,
